codgeo,x,y,libgeo
02119,730924.333,6893455.63,Brécy
02120,739546.541,6918878.682,Brenelle
02121,725513.508,6898376.129,Breny
02122,734205.904,6944329.833,Brie
02123,728640.853,6958292.677,Brissay-Choigny
02124,728884.267,6960499.68,Brissy-Hamégicourt
02125,711159.81,6890078.182,Brumetz
02126,785520.249,6964290.035,Brunehamel
02127,732522.044,6900015.777,Bruyères-sur-Fère
02128,748492.088,6936419.488,Bruyères-et-Montbérault
02129,741360.937,6907082.466,Bruys
02130,778691.667,6974738.564,Bucilly
02131,728951.298,6921031.457,Bucy-le-Long
02132,735957.447,6942309.763,Bucy-lès-Cerny
02133,765274.655,6950037.289,Bucy-lès-Pierrepont
02134,775969.392,6979308.884,Buire
02135,760216.797,6984735.122,Buironfosse
02136,765736.566,6963701.429,Burelles
02137,718294.201,6886336.418,Bussiares
02138,725339.472,6912406.067,Buzancy
02139,708815.861,6946506.497,Caillouël-Crépigny
02140,709260.718,6935680.744,Camelin
02141,765563.572,6986500.264,La Capelle
02142,718287.21,6966913.304,Castres
02143,717445.069,6989182.122,Le Catelet
02144,708026.475,6974030.808,Caulaincourt
02145,712500.275,6948759.419,Caumont
02146,741676.705,6879571.979,Celles-lès-Condé
02148,734419.59,6924160.94,Celles-sur-Aisne
02149,723926.597,6963049.941,Cerizy
02150,749238.818,6928155.142,Cerny-en-Laonnois
02151,739544.491,6942195.258,Cerny-lès-Bucy
02152,737652.874,6914039.509,Cerseuil
02153,734831.555,6939955.727,Cessières-Suzy
02154,728897.759,6911177.284,Chacrise
02155,737840.631,6934482.651,Chaillevois
02156,746557.981,6952531.647,Chalandry
02157,748595.127,6944581.888,Chambry
02158,748601.981,6930528.785,Chamouille
02159,718964.13,6938317.62,Champs
02160,771151.265,6956139.544,Chaourse
02162,727618.073,6872179.893,La Chapelle-sur-Chézy
02163,721378.025,6876409.306,Charly-sur-Marne
02164,739608.501,6890440.488,Le Charmel
02165,727787.576,6950288.941,Charmes
02166,737170.975,6887902.052,Chartèves
02167,736506.338,6919877.394,Chassemy
02168,727888.664,6884124.382,Château-Thierry
02169,750678.593,6962773.822,Châtillon-lès-Sons
02170,730074.983,6966148.35,Châtillon-sur-Oise
02171,757230.846,6922224.497,Chaudardes
02172,718353.536,6912862.679,Chaudun
02173,715859.872,6946759.787,Chauny
02174,737602.553,6931190.177,Chavignon
02175,722172.052,6924845.769,Chavigny
02176,740846.78,6923246.533,Chavonne
02177,749759.901,6935187.157,Chérêt
02178,752199.944,6929485.737,Chermizy-Ailles
02179,744050.646,6906381.372,Chéry-Chartreuve
02180,742921.504,6950138.914,Chéry-lès-Pouilly
02181,779492.9,6958724.703,Chéry-lès-Rozoy
02182,753040.354,6969061.203,Chevennes
02183,743052.047,6929783.468,Chevregny
02184,741999.51,6962657.469,Chevresis-Monceau
02185,712268.98,6891931.046,Chézy-en-Orxois
02186,727943.352,6876114.951,Chézy-sur-Marne
02187,731714.374,6881762.527,Chierry
02188,755783.804,6981549.076,Chigny
02189,761818.081,6947851.016,Chivres-en-Laonnois
02190,731849.75,6922713.358,Chivres-Val
02191,742409.323,6937228.295,Chivy-lès-Étouvelles
02192,718050.254,6901934.177,Chouy
02193,744097.916,6896241.624,Cierges
02194,760592.933,6961451.06,Cilly
02195,733982.127,6918757.7,Ciry-Salsogne
02196,740972.293,6939416.157,Clacy-et-Thierret
02197,770852.264,6986643.294,Clairfontaine
02198,726356.95,6925478.064,Clamecy
02199,716653.977,6961191.994,Clastres
02200,768118.767,6951597.559,Clermont-les-Fermes
02201,711101.962,6914457.258,Cœuvres-et-Valsery
02203,731795.34,6896008.524,Coincy
02204,779027.082,6966503.871,Coingt
02205,745746.182,6929888.331,Colligis-Crandelain
02206,751188.087,6973589.74,Colonfay
02207,710902.195,6949206.145,Commenchon
02208,757367.696,6920002.23,Concevreux
02209,740999.422,6878122.126,Condé-en-Brie
02210,733877.303,6922346.504,Condé-sur-Aisne
02211,768603.999,6924208.082,Condé-sur-Suippe
02212,719974.921,6948635.055,Condren
02213,738950.81,6881842.559,Connigis
02214,716835.019,6965910.305,Contescourt
02215,759944.25,6929501.396,Corbeny
02216,714363.948,6906148.659,Corcy
02217,722872.614,6935198.216,Coucy-le-Château-Auffrique
02218,756390.696,6939967.577,Coucy-lès-Eppes
02219,724862.57,6937903.458,Coucy-la-Ville
02220,745698.368,6900073.036,Coulonges-Cohan
02221,720055.968,6881334.055,Coupru
02222,733154.78,6953688.83,Courbes
02223,737040.647,6877442.078,Courboin
02224,741911.013,6916673.427,Courcelles-sur-Vesle
02225,719190.645,6890790.877,Courchamps
02226,721925.196,6916038.163,Courmelles
02227,741994.333,6893315.615,Courmont
02228,739593.044,6885905.566,Courtemont-Varennes
02229,757594.936,6935245.402,Courtrizy-et-Fussigny
02230,735175.16,6915004.649,Couvrelles
02231,737861.97,6949778.205,Couvron-et-Aumencourt
02232,700985.824,6901504.957,Coyolles
02233,732958.558,6903308.606,Cramaille
02234,757452.921,6927832.732,Craonne
02235,756354.544,6925325.49,Craonnelle
02236,722595.666,6931646.447,Crécy-au-Mont
